Species	Epiphyllous niche	Phorophyte
Lejeunea asperrima Spruce	Optional	No information
Lejeunea bermudiana (A.Evans) R.M.Schust.	Optional	No information
Lejeunea cancellata Nees & Mont.	Optional	Theobroma cacao (stalk)
Lejeunea flaccida Lindenb. & Gottsche	Optional	No information
Lejeunea flava (Sw.) Nees	Optional	Theobroma cacao (stalk), Dicksonia sp. (stalk), Thuja sp. (stalk), Bromeliaceae (leaf), Tipuana sp. (stalk), Guttiferae sp. (stalk), Melastomataceae (stalk), Campomanesia sp. (stalk), Syagrus sp. (stalk), Mangifera indica (stalk), Pandanus sp. (stalk), Cocos nuscifera (stalk), Blechnum brasiliense (leaf), Jambosa sp. (stalk),  Eucalyptus sp. (stalk), Rubiaceae (leaf), Ligustrum sp. (stalk), Byrsonima crassifolia (stalk),  Goeppertia zebrina (leaf), Tabebuia sp. (stalk),  Myrtaceae (stalk), Licuala grandis (stalk), Delonix regia (stalk), Cyathea sp. (stalk), Camellia sinensis (stalk), Byrsonima sericea (stalk), Phyllodendrum sp. (stalk), Ficus elastica (stalk), Philodendron sp. (leaf), Myrcia deflexa (stalk)
Lejeunea grossitexta (Steph.) E.Reiner & Goda	Optional	No information
Lejeunea perpapillosa E.Reiner & Pôrto	Optional	No information
Lejeunea puiggariana Steph.	Optional	Avicennia schaueriana (stalk), Rhizophora mangle (stalk)
Lejeunea setiloba Spruce	Optional	Sloanea sp. (stalk), Rhizophora mangle (stalk)
Lejeunea subsessilis Spruce	Optional	No information
Lejeunea trinitensis Lindenb.	Optional	Cecrópia sp. (stalk)
Lepidolejeunea involuta (Gottsche) Grolle	Optional	No information
Leptolejeunea brasiliensis Bischl.	Exclusive	No information
Leptolejeunea diversilobulata Bischl.	Exclusive	Heliconea sp. (leaf), Araceae (leaf)
Leptolejeunea elliptica (Lehm. & Lindenb.) Schiffn.	Optional	 Araceae (leaf), Pisonia aculeata (leaf), Heliconea sp. (leaf), Asclepias curassavica (leaf), Althaea officinalis (leaf), Palmae (leaf), Apocynaceae (leaf),  Meliaceae (leaf), Myrtaceae (stalk), Theobroma cacao (stalk), Lecythidaceae (leaf), Asplenium sp. (leaf), Bromeliaceae (leaf), Rubiaceae (leaf), Marantaceae (leaf), Attalea sp. (leaf), Zingeberaceae (leaf), Pimpinella anisum (leaf), Zingiberaceae (stalk), Adiantum sp. (leaf), Cecropiaceae (leaf), Musa sp. (stalk), Protium sp. (leaf), Rubus buergeri (leaf)
Leptolejeunea exocellata (Spruce) A.Evans	Optional	Melastomataceae (leaf), Pseudobombax sp. (leaf), Rubiaceae (leaf), Rutaceae (leaf), Adiantum sp. (frond ), Hymenophyllaceae (leaf), Heliconia sp. (leaf), Attalea ssp. (leaf), Polypodium sp. (leaf), Maranthaceae (leaf)
Leptolejeunea maculata (Mitt.) Schiffn.	Exclusive	No information
Leptolejeunea moniliata Steph.	Exclusive	No information
Marchesinia bongardiana (Lehm. & Lindenb.) Trevis.	Optional	No information
Metalejeunea cucullata (Reinw. et al.) Grolle	Exclusive	Rhizophora mangle (stalk)
Microlejeunea cystifera Herzog	Optional	Tabebuia sp. (stalk)
Microlejeunea epiphylla Bischl.	Optional	Araucaria angustifolia (stalk), Clusia sp. (stalk), Licania tomentosa (stalk), Eriotheca crenulaticalyx (stalk), Laguncularia racemosa (stalk), Lythraceae (stalk), Byrsonima chrysophylla (stalk), Ligustrum sp. (stalk)
Microlejeunea subulistipa Steph.	Optional	Laguncularia sp. (stalk), Arecaceae (stalk), Byrsonima chrysophylla (stalk)
Odontolejeunea decemdentata (Spruce) Steph.	Optional	No information
Odontolejeunea lunulata (Weber) Schiffn.	Optional	Rubiaceae (leaf), Heliconda sp. (leaf), Proteraceae (leaf), Lauraceae (leaf), Adiantum tomentosum (leaf), Rizophora mangle (stalk), Campomanesia sp. (stalk)
Odontolejeunea rhomalea (Spruce) Steph.	Optional	Rhizophora mangle (stalk), Laguncularia racemosa (stalk)
Prionolejeunea aemula (Gottsche) A.Evans	Optional	No information
Prionolejeunea denticulata (Weber) Schiffn.	Optional	Guapira opposita (stalk), Licania octandra (stalk), Eriotheca crenulaticalyx (stalk)
Prionolejeunea scaberula (Spruce) Steph.	Optional	No information
Stictolejeunea squamata (Willd. ex Weber) Schiffn.	Optional	No information
Symbiezidium barbiflorum (Lindenb. & Gottsche) A. Evans	Optional	Theobroma cacao (stalk), Licania octandra (stalk), Sterculia sp. (stalk)
Verdoornianthus griffinii Gradst.	Optional	No information
Vitalianthus aphanellus (Spruce) Bechteler, G.E. Lee, Schäf.-Verw. & Heinrichs	Optional	No information
Metzgeriaceae Raddi		
Metzgeria aurantiaca Steph.	Optional	Rhizophora mangle (stalk)
Metzgeria cratoneura Schiffn.	Optional	No information
Metzgeria furcata (L.) Dumort.	Optional	Camelia sinensis (stalk), Campomanesia sp. (stalk), Cinnamomum sp. (stalk), Ficus sp. (stalk), Schinus sp. (stalk), Ligustrum sp. (stalk)
Metzgeria scyphigera A.Evans	Optional	No information
Metzgeria subaneura Schiffn.	Optional	Theobroma cacao (stalk)
Radulaceae K. Müll.		
Radula angulata Steph.	Optional	No information
Radula flaccida Lindenb. & Gottsche	Optional	Elaphoglossum schomburgkii (leaf), Phylodendron sp. (leaf), Metaxya rostrata (leaf), Cyclodium meniscioides (leaf), Bauhinia sp. (leaf), Salpichlaena volubilis (leaf), Microgramma loretense (leaf), Arabidea sp. (leaf), Phylodendron elaphoglossoides (leaf), Avicennia schaueriana (stalk), Inga sp. (leaf), Psychothria sp. (leaf), Pecluma sp. (leaf), Rapatea paludosa (leaf)
Radula mammosa Spruce	Exclusive	No information
Radula mexicana Lindenb. & Gottsche	Optional	Theobroma cacao (stalk)
Radula stenocalyx Mont.	Optional	No information
Trichocoleaceae K. Müll.		
Trichocolea brevifissa Steph.	Optional	No information
		
Bryophyta		
Leucomiaceae Broth.		
Philophyllum tenuifolium (Mitt.) Broth.	Optional	Nidularium sp. (leaf)
Pilotrichaceae Kindb. 		
Crossomitrium epiphyllum (Mitt.) Müll. Hal.	Optional	No information
Crossomitrium patrisiae (Brid.) Müll. Hal.	Optional	Theobroma cacao (leaf), Pseudobombax sp. (leaf), Citrus sp. (stalk)
Crossomitrium saprophilum Broth.	Exclusive	No information
Lepidopilum subsubulatum Geh. & Hampe	Optional	No information
Sematophyllaceae Broth. 		
Meiothecium boryanum (Müll.Hal.) Mitt.	Optional	Laguncularia racemosa (stalk)
Pterogonidium pulchellum (Hook.) Müll.Hal.	Optional	Ficus sp. (stalk), Micomia sp. (stalk), Camellia sinensis (stalk)
